target_name,category,target_query,uniprot_id,full_ncbi_query,retmax,ncbi_hits_reported,hit_count_capped_at_retmax,patent_intermediate_rows,final_master_rows,unique_patents_final,unique_accessions_final,manual_ncbi_url,google_patents_query,google_patents_url,uspto_manual_query,manual_validation_status
TROP2,Oncology,anti-TROP2 OR anti-TACSTD2 OR sacituzumab OR datopotamab,P09758,"(anti-TROP2 OR anti-TACSTD2 OR sacituzumab OR datopotamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,97,no,56,19,5,19,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-TROP2+OR+anti-TACSTD2+OR+sacituzumab+OR+datopotamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-TROP2 OR anti-TACSTD2 OR sacituzumab OR datopotamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-TROP2+OR+anti-TACSTD2+OR+sacituzumab+OR+datopotamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""TROP2"" antibody variable region",not_started
Nectin-4,Oncology,anti-Nectin-4 OR anti-PVRL4 OR enfortumab,Q96NY8,"(anti-Nectin-4 OR anti-PVRL4 OR enfortumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,10,no,5,4,2,4,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-Nectin-4+OR+anti-PVRL4+OR+enfortumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-Nectin-4 OR anti-PVRL4 OR enfortumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-Nectin-4+OR+anti-PVRL4+OR+enfortumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""Nectin-4"" antibody variable region",not_started
CLDN18.2,Oncology,anti-claudin 18 OR anti-CLDN18 OR zolbetuximab,P56856,"(anti-claudin 18 OR anti-CLDN18 OR zolbetuximab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,17,no,17,5,2,5,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-claudin+18+OR+anti-CLDN18+OR+zolbetuximab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-claudin 18 OR anti-CLDN18 OR zolbetuximab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-claudin+18+OR+anti-CLDN18+OR+zolbetuximab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""CLDN18.2"" antibody variable region",not_started
DLL3,Oncology,anti-DLL3 OR rovalpituzumab OR tarlatamab,Q9NYJ7,"(anti-DLL3 OR rovalpituzumab OR tarlatamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,133,131,3,131,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-DLL3+OR+rovalpituzumab+OR+tarlatamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-DLL3 OR rovalpituzumab OR tarlatamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-DLL3+OR+rovalpituzumab+OR+tarlatamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""DLL3"" antibody variable region",not_started
Mesothelin,Oncology,anti-mesothelin OR anti-MSLN OR anetumab,Q13421,"(anti-mesothelin OR anti-MSLN OR anetumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,160,no,59,55,8,55,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-mesothelin+OR+anti-MSLN+OR+anetumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-mesothelin OR anti-MSLN OR anetumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-mesothelin+OR+anti-MSLN+OR+anetumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""Mesothelin"" antibody variable region",not_started
MET,Oncology,anti-MET OR anti-HGFR OR onartuzumab OR amivantamab,P08581,"(anti-MET OR anti-HGFR OR onartuzumab OR amivantamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,40,39,3,39,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-MET+OR+anti-HGFR+OR+onartuzumab+OR+amivantamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-MET OR anti-HGFR OR onartuzumab OR amivantamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-MET+OR+anti-HGFR+OR+onartuzumab+OR+amivantamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""MET"" antibody variable region",not_started
PSMA,Oncology,anti-PSMA OR anti-FOLH1 OR capromab,Q04609,"(anti-PSMA OR anti-FOLH1 OR capromab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,188,32,1,32,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-PSMA+OR+anti-FOLH1+OR+capromab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-PSMA OR anti-FOLH1 OR capromab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-PSMA+OR+anti-FOLH1+OR+capromab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""PSMA"" antibody variable region",not_started
FAP,Oncology,anti-FAP OR anti-fibroblast activation protein,Q12884,"(anti-FAP OR anti-fibroblast activation protein) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,10,no,6,5,2,5,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-FAP+OR+anti-fibroblast+activation+protein%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-FAP OR anti-fibroblast activation protein) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-FAP+OR+anti-fibroblast+activation+protein%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""FAP"" antibody variable region",not_started
GPC3,Oncology,anti-GPC3 OR anti-glypican-3 OR codrituzumab,P51654,"(anti-GPC3 OR anti-glypican-3 OR codrituzumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,109,69,2,69,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-GPC3+OR+anti-glypican-3+OR+codrituzumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-GPC3 OR anti-glypican-3 OR codrituzumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-GPC3+OR+anti-glypican-3+OR+codrituzumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""GPC3"" antibody variable region",not_started
B7-H3,Oncology,anti-B7-H3 OR anti-CD276 OR enoblituzumab OR omburtamab,Q5ZPR3,"(anti-B7-H3 OR anti-CD276 OR enoblituzumab OR omburtamab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,106,60,6,60,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-B7-H3+OR+anti-CD276+OR+enoblituzumab+OR+omburtamab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-B7-H3 OR anti-CD276 OR enoblituzumab OR omburtamab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-B7-H3+OR+anti-CD276+OR+enoblituzumab+OR+omburtamab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""B7-H3"" antibody variable region",not_started
EpCAM,Oncology,anti-EpCAM OR anti-CD326 OR catumaxomab OR solitomab,P16422,"(anti-EpCAM OR anti-CD326 OR catumaxomab OR solitomab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,76,no,44,36,1,36,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-EpCAM+OR+anti-CD326+OR+catumaxomab+OR+solitomab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-EpCAM OR anti-CD326 OR catumaxomab OR solitomab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-EpCAM+OR+anti-CD326+OR+catumaxomab+OR+solitomab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""EpCAM"" antibody variable region",not_started
TNF-alpha,Cytokine,anti-TNF OR anti-TNFA OR adalimumab OR infliximab OR golimumab OR certolizumab,P01375,"(anti-TNF OR anti-TNFA OR adalimumab OR infliximab OR golimumab OR certolizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,61,40,8,40,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-TNF+OR+anti-TNFA+OR+adalimumab+OR+infliximab+OR+golimumab+OR+certolizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-TNF OR anti-TNFA OR adalimumab OR infliximab OR golimumab OR certolizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-TNF+OR+anti-TNFA+OR+adalimumab+OR+infliximab+OR+golimumab+OR+certolizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""TNF-alpha"" antibody variable region",not_started
IL-6,Cytokine,anti-IL-6 OR anti-IL6 OR siltuximab OR olokizumab,P05231,"(anti-IL-6 OR anti-IL6 OR siltuximab OR olokizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,77,67,6,67,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-6+OR+anti-IL6+OR+siltuximab+OR+olokizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-6 OR anti-IL6 OR siltuximab OR olokizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-6+OR+anti-IL6+OR+siltuximab+OR+olokizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-6"" antibody variable region",not_started
IL-6R,Cytokine,anti-IL-6R OR anti-IL6R OR tocilizumab OR sarilumab,P08887,"(anti-IL-6R OR anti-IL6R OR tocilizumab OR sarilumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,75,36,2,36,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-6R+OR+anti-IL6R+OR+tocilizumab+OR+sarilumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-6R OR anti-IL6R OR tocilizumab OR sarilumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-6R+OR+anti-IL6R+OR+tocilizumab+OR+sarilumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-6R"" antibody variable region",not_started
IL-17A,Cytokine,anti-IL-17A OR anti-IL17A OR secukinumab OR ixekizumab OR bimekizumab,Q16552,"(anti-IL-17A OR anti-IL17A OR secukinumab OR ixekizumab OR bimekizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,77,no,34,34,2,34,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-17A+OR+anti-IL17A+OR+secukinumab+OR+ixekizumab+OR+bimekizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-17A OR anti-IL17A OR secukinumab OR ixekizumab OR bimekizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-17A+OR+anti-IL17A+OR+secukinumab+OR+ixekizumab+OR+bimekizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-17A"" antibody variable region",not_started
IL-17RA,Cytokine,anti-IL-17RA OR anti-IL17RA OR brodalumab,Q96F46,"(anti-IL-17RA OR anti-IL17RA OR brodalumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,7,no,2,2,1,2,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-17RA+OR+anti-IL17RA+OR+brodalumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-17RA OR anti-IL17RA OR brodalumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-17RA+OR+anti-IL17RA+OR+brodalumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-17RA"" antibody variable region",not_started
IL-4Ra,Cytokine,anti-IL-4R OR anti-IL4R OR dupilumab,P24394,"(anti-IL-4R OR anti-IL4R OR dupilumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,76,no,43,36,3,36,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-4R+OR+anti-IL4R+OR+dupilumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-4R OR anti-IL4R OR dupilumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-4R+OR+anti-IL4R+OR+dupilumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-4Ra"" antibody variable region",not_started
IL-13,Cytokine,anti-IL-13 OR anti-IL13 OR tralokinumab OR cendakimab,P35225,"(anti-IL-13 OR anti-IL13 OR tralokinumab OR cendakimab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,65,60,3,60,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-13+OR+anti-IL13+OR+tralokinumab+OR+cendakimab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-13 OR anti-IL13 OR tralokinumab OR cendakimab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-13+OR+anti-IL13+OR+tralokinumab+OR+cendakimab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-13"" antibody variable region",not_started
IL-5,Cytokine,anti-IL-5 OR anti-IL5 OR mepolizumab OR reslizumab,P05113,"(anti-IL-5 OR anti-IL5 OR mepolizumab OR reslizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,30,no,13,9,2,9,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-5+OR+anti-IL5+OR+mepolizumab+OR+reslizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-5 OR anti-IL5 OR mepolizumab OR reslizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-5+OR+anti-IL5+OR+mepolizumab+OR+reslizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-5"" antibody variable region",not_started
IL-5Ra,Cytokine,anti-IL-5R OR anti-IL5RA OR benralizumab,Q01344,"(anti-IL-5R OR anti-IL5RA OR benralizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,7,no,2,2,1,2,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-5R+OR+anti-IL5RA+OR+benralizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-5R OR anti-IL5RA OR benralizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-5R+OR+anti-IL5RA+OR+benralizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-5Ra"" antibody variable region",not_started
IL-23,Cytokine,anti-IL-23 OR anti-IL23 OR guselkumab OR risankizumab OR tildrakizumab,Q9NPF7,"(anti-IL-23 OR anti-IL23 OR guselkumab OR risankizumab OR tildrakizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,101,61,3,61,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-23+OR+anti-IL23+OR+guselkumab+OR+risankizumab+OR+tildrakizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-23 OR anti-IL23 OR guselkumab OR risankizumab OR tildrakizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-23+OR+anti-IL23+OR+guselkumab+OR+risankizumab+OR+tildrakizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-23"" antibody variable region",not_started
IL-12/23 p40,Cytokine,anti-IL-12 OR anti-p40 OR ustekinumab,P29460,"(anti-IL-12 OR anti-p40 OR ustekinumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,126,no,43,6,3,6,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-12+OR+anti-p40+OR+ustekinumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-12 OR anti-p40 OR ustekinumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-12+OR+anti-p40+OR+ustekinumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-12/23 p40"" antibody variable region",not_started
IL-33,Cytokine,anti-IL-33 OR anti-IL33 OR itepekimab OR tozorakimab,O95760,"(anti-IL-33 OR anti-IL33 OR itepekimab OR tozorakimab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,113,113,1,113,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-33+OR+anti-IL33+OR+itepekimab+OR+tozorakimab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-33 OR anti-IL33 OR itepekimab OR tozorakimab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-33+OR+anti-IL33+OR+itepekimab+OR+tozorakimab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-33"" antibody variable region",not_started
IL-31,Cytokine,anti-IL-31 OR anti-IL31 OR nemolizumab,Q6EBC2,"(anti-IL-31 OR anti-IL31 OR nemolizumab) AND (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR heavy chain OR light chain OR CDR OR variable region) AND ""PAT""[Division]",200,200,yes,88,71,2,71,https://www.ncbi.nlm.nih.gov/protein/?term=%28anti-IL-31+OR+anti-IL31+OR+nemolizumab%29+AND+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+heavy+chain+OR+light+chain+OR+CDR+OR+variable+region%29+AND+%22PAT%22%5BDivision%5D,(anti-IL-31 OR anti-IL31 OR nemolizumab) (antibody OR immunoglobulin OR VH OR VHH OR VL OR scFv OR nanobody OR Fab OR CDR),https://patents.google.com/?q=%28anti-IL-31+OR+anti-IL31+OR+nemolizumab%29+%28antibody+OR+immunoglobulin+OR+VH+OR+VHH+OR+VL+OR+scFv+OR+nanobody+OR+Fab+OR+CDR%29,"""IL-31"" antibody variable region",not_started
